synthesizer_name,time_inputs,user_input,reference,reference_contexts,answer,retrieved_contexts
type1_granulating_dry,"{'necrotic_pct': 0, 'slough_pct': 0, 'granulation_pct': 100, 'infection': 'Not infected', 'moisture': 'Low', 'edge': 'Advancing'}",Wound bed is 100% healthy pink granulation tissue. No slough or necrosis present. No signs of infection. Minimal exudate — wound is almost dry. Wound edges are advancing. Ready for healing by secondary intention.,"Wound Type 1 (Clean, healthy granulating wound — dry/minimal exudate).
Dressing: All types of dressing material are suitable EXCEPT silver, charcoal, and special advanced dressing materials. Silver and charcoal are contraindicated in clean granulating wounds.
Suitable options include: Hydrocolloid (2–5 days), Film dressing (2–5 days), Foam as secondary, Tulle/non-adherent dressing.
Antibiotic: Not indicated.
Surgery: If wound is small, continue dressing until healing by secondary intention. If ready, wound can proceed to secondary closure.
Frequency varies depending on dressing type and wound condition.","['Clean, healthy granulating wound: All types of dressing material except silver, charcoal and special advanced dressing materials. No antibiotic. Ready for secondary wound closure or continue dressing till wound heals by secondary intention.', 'Silver, charcoal and special advanced materials should not be used on clean granulating wounds.', 'Frequency of wound dressing varies depending on type of wound and also dressing material used.']",,[]
type1_granulating_wet,"{'necrotic_pct': 0, 'slough_pct': 5, 'granulation_pct': 95, 'infection': 'Not infected', 'moisture': 'Moderate', 'edge': 'Advancing'}",Wound is predominantly granulating — 95% healthy red cobblestone granulation tissue. Minimal slough at edges. No infection. Moderate exudate. Wound edges advancing. No signs of dehiscence or deterioration.,"Wound Type 1 (Clean, healthy granulating wound — moderate/wet exudate).
Dressing: All types suitable EXCEPT silver, charcoal, and special advanced dressings. For moderate exudate, foam dressing is appropriate as it is highly absorbent, conforms to body contours, and is designed for moderately exuding wounds. Hydrofibre or alginate are also suitable options.
Antibiotic: Not indicated.
Non-silicone foam types should be avoided in patients with fragile skin. Foam frequency: 2–3 days or longer.
Surgery: Continue dressing until heals by secondary intention or secondary closure if ready.","['Clean, healthy granulating wound: All types of dressing material except silver, charcoal and special advanced dressing materials.', 'Foams: highly absorbent, cushioning, conforms to body contours, bacterial and waterproof. Frequency of dressing change: 2 to 3 days or longer.', 'Foam suitable for moderately exudating wounds, skin tears, skin grafts and donor sites. Nonsilicone types should be avoided in patients with fragile skin.']",,[]
type2_clean_wet,"{'necrotic_pct': 5, 'slough_pct': 10, 'granulation_pct': 85, 'infection': 'Not infected', 'moisture': 'High', 'edge': 'Advancing'}",Wound is clean with mostly granulation tissue. No clinical infection. High exudate — previous dressing saturated within 24 hours. Minimal slough but no significant necrosis. Wound is healing.,"Wound Type 2 (Clean and wet wound — high exudate).
Recommended dressings:
1. Foam — highly absorbent, can be used up to 2–3 days
2. Alginate — absorbs up to 20 times its own weight; forms a gel on contact with wound fluid; suitable for moderate to heavy exudate; frequency 2–5 days
3. Hydrofibre — manages heavy exuding wounds, longer wear time, reduces risk of maceration; frequency 2–5 days
4. Polymeric membrane dressing — manages moisture imbalance, has antiseptic property, frequency 2–5 days
Antibiotic: May or may not be needed based on underlying cause.
Surgery: Find and treat underlying cause if necessary.","['Clean and wet wound: 1. Foam  2. Alginate  3. Hydrofiber  4. Polymeric membrane. May or may not need antibiotic based on underlying cause. Find underlying cause and treat if necessary.', 'Alginates partially dissolve on contact with wound fluid to form a gel able to absorb up to 20 times own weight hence recommended for moderate to heavy exudate. Frequency: 2 to 5 days.', 'Hydrofibre: Manage heavy exuding wounds. Maintains moist healing environment. Longer wear time. Reduces risk of maceration. Frequency: 2 to 5 days.']",,[]
type3_dry_infected_low_necrotic,"{'necrotic_pct': 10, 'slough_pct': 12, 'granulation_pct': 78, 'infection': 'Infected', 'moisture': 'Low', 'edge': 'Non-advancing'}","Dry wound with minimal exudate. Wound bed shows approximately 22% combined slough and necrotic tissue (well under 25%). Clinically infected — erythema, warmth, increased pain. No exudate visible. Most likely vascular in origin. Wound edges not advancing.","Wound Type 3 (Dry, infected wound with <25% slough/necrotic tissue — most likely vascular in origin).
Recommended dressings:
1. Tulle — non-adherent primary dressing for lightly exuding wounds
2. Hydrogel — rehydrates, debrids and desloughs; provides moist environment; promotes granulation; frequency 2–3 days
3. Hydrocolloid — provides moist environment, absorbs exudate, promotes autolysis; frequency 2–5 days
4. Silver dressing — reduces bacterial bioburden in infected wounds; bactericidal with no known resistance; frequency 2–3 days
5. Iodine base dressing — broad spectrum bacteriostatic activity; AVOID in patients with thyroid disorders (iodine absorbed systemically)
Antibiotic: Yes, based on culture and sensitivity (C&S) report of infected tissue.
Surgery: Debridement may be needed.","['Dry, infected wound with <25% slough/necrotic tissue (most likely vascular in origin): 1.Tulle  2.Hydrogel  3.Hydrocolloid  4.Silver dressing  5.Iodine base dressing. Yes antibiotic based on C&S report. Debridement may be needed.', 'Silver: To reduce bacterial bioburden in infected wounds. Bactericidal with no known resistance. Frequency: 2 to 3 days.', 'Hydrogel: Rehydrate, debride and deslough the wound. Promotes moist healing, cavity filling. Frequency: 2 to 3 days.', 'Iodine may be absorbed systematically — should be avoided in patients with thyroid disorders.']",,[]
type3_iodine_contraindication,"{'necrotic_pct': 8, 'slough_pct': 15, 'granulation_pct': 77, 'infection': 'Infected', 'moisture': 'Low', 'edge': 'Non-advancing'}","Dry infected wound, <25% slough. Clinician considering cadexomer iodine. Patient has hypothyroidism and is on levothyroxine. Is iodine dressing appropriate for this patient?","Wound Type 3 (Dry infected, <25% slough/necrotic).
CONTRAINDICATED: Iodine-based dressings should NOT be used in patients with thyroid disorders because iodine may be absorbed systemically, which is particularly hazardous for patients on levothyroxine or with hypothyroidism.
Alternative from the Type 3 dressing list:
1. Silver dressing — bactericidal, no known resistance, no thyroid interaction risk; frequency 2–3 days
2. Hydrogel — rehydrates dry wound, promotes autolytic debridement; frequency 2–3 days
3. Hydrocolloid — promotes autolysis, moist environment; frequency 2–5 days
Antibiotic: Yes, based on C&S report.
Debridement may be needed.","['Because iodine may be absorbed systematically, it should be avoided in patients with thyroid disorders.', 'Silver: To reduce bacterial bioburden in infected wounds. Locally acting. Bactericidal with no known resistance. Frequency: 2 to 3 days.', 'Dry, infected wound with <25% slough/necrotic tissue: 1.Tulle 2.Hydrogel 3.Hydrocolloid 4.Silver dressing 5.Iodine base dressing.']",,[]
type4_wet_infected_low_necrotic,"{'necrotic_pct': 12, 'slough_pct': 10, 'granulation_pct': 78, 'infection': 'Infected', 'moisture': 'High', 'edge': 'Advancing'}","Wet wound with high exudate. Clinically infected — purulent discharge, erythema around wound margin. About 22% combined slough and necrosis (less than 25% non-viable tissue). Heavily draining.","Wound Type 4 (Wet, infected wound with <25% slough/necrotic tissue).
Recommended dressings:
1. Alginate — highly absorbent, haemostatic; absorbs up to 20× weight; suitable for moderate to heavy exudate; frequency 2–5 days
2. Foam — highly absorbent, cushioning, conforms to body contours; frequency 2–3 days
3. Silver — reduces bacterial bioburden in infected wounds; bactericidal with no known resistance; frequency 2–3 days
4. Hydrofibre — manages heavy exuding wounds; can be used on infected wounds; frequency 2–5 days
5. Polymeric membrane dressing — antiseptic property; frequency 2–5 days
6. Iodine base dressing — avoid if patient has thyroid disorder
Antibiotic: Yes, based on C&S report of infected tissue.
Surgery: Debridement may be needed.","['Wet, infected wound with <25% slough/necrotic tissue: 1.Alginate 2.Foam 3.Silver 4.Hydrofiber 5.Polymeric membrane 6.Iodine base dressing. Antibiotic: Yes based on C&S report. Debridement may be needed.', 'Hydrofibre: Manage heavy exuding wounds. Maintains moist healing environment. Can be used on infected wounds. Frequency 2 to 5 days.', 'Silver: To reduce bacterial bioburden in infected wounds. Bactericidal. No known resistance. Frequency: 2 to 3 days.', 'Alginates: absorb up to 20 times own weight hence recommended for moderate to heavy level of exudate. Frequency 2-5 days.']",,[]
type5_dry_noninfected_high_necrotic,"{'necrotic_pct': 45, 'slough_pct': 25, 'granulation_pct': 30, 'infection': 'Not infected', 'moisture': 'Low', 'edge': 'Non-advancing'}",Dry wound with no exudate. Wound bed has 45% black necrotic tissue and 25% yellow slough — total 70% non-viable tissue (well over 25%). No clinical signs of infection. Wound edges stalled.,"Wound Type 5 (Dry, non-infected wound with >25% slough/necrotic tissue).
Recommended dressings:
1. Hydrogel — primary choice; gently rehydrates dry necrotic tissue; softens necrotic tissue; promotes autolytic debridement by providing moist wound healing environment; needs secondary dressing; frequency 2–3 days
2. Hydrocolloid — provides moist environment; cleans and debrids by autolysis; promotes granulation tissue; effective for low to moderate exuding wounds; frequency 2–5 days
3. Polymeric membrane dressing — manages moisture imbalance (dry to moderate); antiseptic property; frequency 2–5 days
Antibiotic: NOT indicated (wound is non-infected).
Surgery: Debridement IS needed given >25% non-viable tissue. Autolytic debridement via hydrogel can be initiated while awaiting or in addition to mechanical/surgical debridement.","['Dry, non-infected wound with >25% slough/necrotic tissue: 1.Hydrogel 2.Hydrocolloid 3.Polymeric membrane. No antibiotic. Debridement is needed.', 'Hydrogel: Rehydrate, debride and deslough the wound. Promote moist healing, cavity filling. Comfortable, provides moist environment and reduces pain. Rehydrate eschar. Desloughing agent. Promotes granulation. Needs secondary dressing. Frequency: 2 to 3 days.', 'Autolytic debridement: the process by which the wound bed utilizes phagocytes and proteolytic enzymes to remove non-viable tissue. Hydrogel gently rehydrates dry necrotic tissue, provides moist wound healing environment, softens necrotic tissue.']",,[]
type6_wet_noninfected_high_necrotic,"{'necrotic_pct': 10, 'slough_pct': 50, 'granulation_pct': 40, 'infection': 'Not infected', 'moisture': 'High', 'edge': 'Non-advancing'}",Wet wound with heavy exudate. Wound bed has 60% combined slough and necrotic tissue (over 25% threshold). Predominantly fibrinous slough with some necrosis. No clinical infection signs. Wound not progressing.,"Wound Type 6 (Wet, non-infected wound with >25% slough/necrotic tissue).
Recommended dressings:
1. Alginate — highly absorbent, haemostatic; absorbs up to 20× weight; suitable for moderate to heavy exudate; frequency 2–5 days; needs secondary dressing
2. Foam — highly absorbent, cushioning, bacterial and waterproof barrier; frequency 2–3 days
3. Polymeric membrane dressing — manages moisture imbalance, has surfactant which helps cleanse; frequency 2–5 days
4. Hydrofibre — manages heavy exuding wounds; maintains moist healing environment; reduces maceration risk; frequency 2–5 days
Antibiotic: May or may not be needed based on underlying cause.
Surgery: Surgical/mechanical debridement is RECOMMENDED. May need repeated debridement. Refer as appropriate — wound type 6 is one of the wound types that should be referred to hospital if extensive.","['Wet, non-infected wound with >25% slough/necrotic tissue: 1.Alginate 2.Foam 3.Polymeric membrane 4.Hydrofiber. May or may not need antibiotic. Surgical/mechanical debridement is recommended. May need repeated debridement.', 'Wound types 6, 7 and 8 (wet non-infected >25%, dry infected >25%, wet infected >25%) should be referred to hospital.', 'Alginates: absorb up to 20 times own weight. Available in sheet or rope form. Effective to stop bleeding. Residue of biodegradable product has to be washed off during cleansing. Frequency: 2 to 5 days.']",,[]
type7_dry_infected_high_necrotic,"{'necrotic_pct': 40, 'slough_pct': 30, 'granulation_pct': 30, 'infection': 'Infected', 'moisture': 'Low', 'edge': 'Non-advancing'}","Dry wound — no exudate visible. 70% non-viable tissue (40% black necrotic, 30% slough), well over 25% threshold. Clinically infected — erythema, warmth, increased pain, wound not progressing. Wound edges stalled.","Wound Type 7 (Dry, infected wound with >25% slough/necrotic tissue).
REFERRAL INDICATED: Wound type 7 should be referred to hospital.
Recommended dressings (interim management):
1. Silver dressing — primary antimicrobial choice; reduces bacterial bioburden; bactericidal with no known resistance; frequency 2–3 days
2. Hydrogel — rehydrates dry necrotic tissue; autolytic debridement; frequency 2–3 days
3. Hydrocolloid — moist environment, promotes autolysis; frequency 2–5 days
4. Iodine base dressing — AVOID in thyroid disorders
5. Polymeric membrane dressing — frequency 2–5 days
Antibiotic: Yes, based on C&S report of infected tissue.
Surgery: Surgical/mechanical debridement is STRONGLY recommended for >25% non-viable infected tissue.","['Dry, infected wound with >25% slough/necrotic tissue: 1.Silver dressing 2.Hydrogel 3.Hydrocolloid 4.Iodine base dressing 5.Polymeric membrane. Antibiotic: Yes based on C&S report. Surgical/mechanical debridement is strongly recommended.', 'Wound types 6, 7 and 8 require referral to hospital: extensive surgical debridement needed, systemic complications, sepsis, cellulitis.', 'Silver: To reduce bacterial bioburden in infected wounds. Locally acting. No known resistance. Bactericidal. Frequency: 2 to 3 days.']",,[]
type8_wet_infected_high_necrotic,"{'necrotic_pct': 30, 'slough_pct': 35, 'granulation_pct': 35, 'infection': 'Infected', 'moisture': 'High', 'edge': 'Non-advancing'}","Complex wound — heavy exudate, clinically infected with purulent discharge. 65% non-viable tissue (30% necrotic, 35% slough) — over 25% threshold. Wound edges stalled. Malodour noted. Wound not progressing.","Wound Type 8 (Wet, infected wound with >25% slough/necrotic tissue).
REFERRAL INDICATED: Wound type 8 should be referred to hospital.
Recommended dressings (interim management):
1. Alginate — highly absorbent for heavy exudate; frequency 2–5 days
2. Silver dressing — reduces bacterial bioburden; bactericidal; no known resistance; frequency 2–3 days
3. Hydrofibre — manages heavy exuding infected wounds; frequency 2–5 days
4. Foam — highly absorbent; frequency 2–3 days
5. Polymeric membrane dressing — frequency 2–5 days
6. Charcoal — odour absorbent; reduces malodour; frequency 2 days; needs secondary dressing
7. Iodine base dressing — AVOID if thyroid disorder
Antibiotic: Yes, based on C&S report of infected tissue.
Surgery: Surgical/mechanical debridement is STRONGLY recommended. May need repeated debridement.","['Wet, infected wound with >25% slough/necrotic tissue: 1.Alginate 2.Silver dressing 3.Hydrofiber 4.Foam 5.Polymeric membrane 6.Charcoal 7.Iodine base dressing. Antibiotic: Yes based on C&S. Surgical/mechanical debridement strongly recommended. May need repeated debridement.', 'Charcoal: odour absorbent. Reduces odour. Needs secondary dressing. Frequency: 2 days.', 'Wound types 6, 7 and 8: need referral — extensive wound care such as surgical debridement, vacuum dressing. Systemic complications such as sepsis and severe cellulitis.']",,[]
